D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\center_2021_01_01_15_13_39_186.jpg,D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\left_2021_01_01_15_13_39_186.jpg,D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\right_2021_01_01_15_13_39_186.jpg,0,0,0,3.489283
D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\center_2021_01_01_15_13_39_252.jpg,D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\left_2021_01_01_15_13_39_252.jpg,D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\right_2021_01_01_15_13_39_252.jpg,0,0,0,3.468236
D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\center_2021_01_01_15_13_39_322.jpg,D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\left_2021_01_01_15_13_39_322.jpg,D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\right_2021_01_01_15_13_39_322.jpg,0,0,0,3.447317
D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\center_2021_01_01_15_13_39_390.jpg,D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\left_2021_01_01_15_13_39_390.jpg,D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\right_2021_01_01_15_13_39_390.jpg,0,0,0,3.419621
D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\center_2021_01_01_15_13_39_459.jpg,D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\left_2021_01_01_15_13_39_459.jpg,D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\right_2021_01_01_15_13_39_459.jpg,0,0,0,3.398995
D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\center_2021_01_01_15_13_39_530.jpg,D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\left_2021_01_01_15_13_39_530.jpg,D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\right_2021_01_01_15_13_39_530.jpg,0,0,0,3.371687
D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\center_2021_01_01_15_13_39_600.jpg,D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\left_2021_01_01_15_13_39_600.jpg,D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\right_2021_01_01_15_13_39_600.jpg,0,0,0,3.35135
D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\center_2021_01_01_15_13_39_670.jpg,D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\left_2021_01_01_15_13_39_670.jpg,D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\right_2021_01_01_15_13_39_670.jpg,0,0,0,3.324424
D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\center_2021_01_01_15_13_39_739.jpg,D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\left_2021_01_01_15_13_39_739.jpg,D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\right_2021_01_01_15_13_39_739.jpg,0,0,0,3.304373
D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\center_2021_01_01_15_13_39_809.jpg,D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\left_2021_01_01_15_13_39_809.jpg,D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\right_2021_01_01_15_13_39_809.jpg,0,0,0,3.277825
D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\center_2021_01_01_15_13_39_879.jpg,D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\left_2021_01_01_15_13_39_879.jpg,D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\right_2021_01_01_15_13_39_879.jpg,0,0,0,3.258055
D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\center_2021_01_01_15_13_39_947.jpg,D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\left_2021_01_01_15_13_39_947.jpg,D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\right_2021_01_01_15_13_39_947.jpg,0,0,0,3.231879
D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\center_2021_01_01_15_13_40_014.jpg,D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\left_2021_01_01_15_13_40_014.jpg,D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\right_2021_01_01_15_13_40_014.jpg,0,0,0,3.212385
D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\center_2021_01_01_15_13_40_084.jpg,D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\left_2021_01_01_15_13_40_084.jpg,D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\right_2021_01_01_15_13_40_084.jpg,0,0,0,3.186577
D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\center_2021_01_01_15_13_40_154.jpg,D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\left_2021_01_01_15_13_40_154.jpg,D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\right_2021_01_01_15_13_40_154.jpg,0,0,0,3.167356
D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\center_2021_01_01_15_13_40_223.jpg,D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\left_2021_01_01_15_13_40_223.jpg,D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\right_2021_01_01_15_13_40_223.jpg,0,0,0,3.14178
D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\center_2021_01_01_15_13_40_293.jpg,D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\left_2021_01_01_15_13_40_293.jpg,D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\right_2021_01_01_15_13_40_293.jpg,0,0,0,3.122638
D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\center_2021_01_01_15_13_40_360.jpg,D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\left_2021_01_01_15_13_40_360.jpg,D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\right_2021_01_01_15_13_40_360.jpg,0,0,0,3.103743
D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\center_2021_01_01_15_13_40_428.jpg,D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\left_2021_01_01_15_13_40_428.jpg,D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\right_2021_01_01_15_13_40_428.jpg,0,0,0,3.078808
D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\center_2021_01_01_15_13_40_497.jpg,D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\left_2021_01_01_15_13_40_497.jpg,D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\right_2021_01_01_15_13_40_497.jpg,0,0,0,3.060239
D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\center_2021_01_01_15_13_40_567.jpg,D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\left_2021_01_01_15_13_40_567.jpg,D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\right_2021_01_01_15_13_40_567.jpg,0,0,0,3.035653
D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\center_2021_01_01_15_13_40_634.jpg,D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\left_2021_01_01_15_13_40_634.jpg,D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\right_2021_01_01_15_13_40_634.jpg,0,0,0,3.017344
D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\center_2021_01_01_15_13_40_701.jpg,D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\left_2021_01_01_15_13_40_701.jpg,D:\0-Learning\_Self-Driving\CarND-Behavioral-Cloning-P3\data3\IMG\right_2021_01_01_15_13_40_701.jpg,0,0,0,2.999144
